Channel,OptimalFeatureCount,OptimalAccuracy,MinimumLoss
AF3,1000,97.1428571428571,0.0285714285714286
AF4,1000,98.3928571428571,0.0160714285714286
F3,800,97.1428571428571,0.0285714285714286
F4,1000,98.3928571428571,0.0160714285714286
F7,1000,96.25,0.0375000000000001
F8,1000,96.9642857142857,0.0303571428571431
FC5,800,98.5714285714286,0.0142857142857143
FC6,900,96.0714285714286,0.0392857142857143
O1,1000,97.3214285714286,0.0267857142857144
O2,1000,97.5,0.025
P7,800,98.5714285714286,0.0142857142857143
P8,1000,98.0357142857143,0.0196428571428572
T7,1000,98.0357142857143,0.0196428571428572
T8,1000,97.3214285714286,0.0267857142857143
